fHI	fHeI	fHeII	z	T(K)
0.1	0.1	0.9	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
136.528	0.00136588	0.997067	0.00156771	0.0162014	0.0102015	0.00150006	0.00020004	0.991915
139.259	0.00214162	0.996817	0.00104196	0.0115016	0.016601	0.00140015	0.00070002	0.991904
142.044	0.00167482	0.99683	0.00149573	0.0165012	0.0138017	0.00160014	0.00020007	0.991893
144.885	0.00159245	0.996897	0.0015117	0.0175017	0.0129014	0.00070016	0.00070002	0.991882
147.783	0.00176756	0.9966	0.00163292	0.0192018	0.0142013	0.00100007	0.00080007	0.991871
150.738	0.00186997	0.996581	0.00154966	0.0180019	0.0163014	0.0009001	0.00070008	0.991861
153.753	0.00184591	0.996529	0.00162577	0.0185018	0.0159016	0.00120009	0.00070007	0.991851
156.828	0.00212221	0.996251	0.00162779	0.0203019	0.0170016	0.00170012	0.00110007	0.99184
159.965	0.00210742	0.996319	0.00157474	0.020002	0.0192017	0.00110017	0.00090011	0.99183
163.164	0.00188982	0.996592	0.00151881	0.019202	0.0176019	0.00170011	0.00050009	0.99182
166.427	0.00211734	0.996155	0.00172881	0.0229019	0.0208018	0.00150017	0.00060005	0.99181
169.756	0.00234699	0.996105	0.00154917	0.0203023	0.0203021	0.00210015	0.00130006	0.991801
173.151	0.0018298	0.996474	0.00169696	0.023002	0.016702	0.00210021	0.00070013	0.991791
176.614	0.00182584	0.996526	0.00164856	0.0219023	0.0178017	0.00150021	0.00080007	0.991782
180.146	0.00199064	0.996186	0.00182412	0.0246022	0.0202018	0.00120015	0.00100008	0.991772
183.749	0.00213724	0.996206	0.00165721	0.0233025	0.022502	0.00220012	0.0006001	0.991763
187.424	0.00236379	0.995988	0.00164895	0.0234023	0.0238023	0.00220022	0.00120006	0.991754
191.173	0.00224497	0.995935	0.00182096	0.0261023	0.0242024	0.00230022	0.00080012	0.991745
194.996	0.00220764	0.995834	0.00195931	0.0294026	0.0224024	0.00180023	0.00150008	0.991736
198.896	0.00224771	0.995835	0.00191775	0.0294029	0.0242022	0.00170018	0.00140015	0.991728
202.874	0.00230858	0.995818	0.00187382	0.0288029	0.0253024	0.00240017	0.00120014	0.991719
206.931	0.00254211	0.995698	0.00176051	0.0281029	0.0278025	0.00270024	0.00150012	0.99171
211.07	0.00218481	0.995989	0.00182665	0.0286028	0.0238028	0.00360027	0.00090015	0.991702
215.291	0.00239261	0.99569	0.00191856	0.0322029	0.0267024	0.00220036	0.00180009	0.991694
219.597	0.00246481	0.99564	0.00189539	0.0315032	0.0291027	0.00260022	0.00150018	0.991686
223.989	0.00215195	0.995919	0.00192993	0.0342032	0.0250029	0.00290026	0.00130015	0.991678
228.469	0.00235628	0.995695	0.00194901	0.0343034	0.0270025	0.00320029	0.00170013	0.99167
233.038	0.00258122	0.99532	0.00209982	0.0387034	0.0314027	0.00400032	0.00140017	0.991662
237.699	0.00253942	0.995531	0.00193009	0.0356039	0.0330031	0.0032004	0.00140014	0.991654
242.453	0.0029834	0.994898	0.00211916	0.0397036	0.0361033	0.00370032	0.00260014	0.991647
247.302	0.00283276	0.995099	0.00206913	0.039904	0.0341036	0.00410037	0.00250026	0.991639
252.248	0.00277078	0.995308	0.00192209	0.036904	0.0330034	0.00420041	0.00270025	0.991632
257.293	0.00265565	0.995351	0.00199359	0.0389037	0.0378033	0.00290042	0.00180027	0.991625
262.439	0.00264941	0.995297	0.00205446	0.0420039	0.0360038	0.00350029	0.00220018	0.991618
267.688	0.00274206	0.995175	0.00208392	0.0438042	0.0374036	0.00430035	0.00220022	0.991611
273.042	0.0027272	0.995136	0.00213737	0.0475044	0.0396037	0.00440043	0.00180022	0.991604
278.502	0.0028497	0.995111	0.00203982	0.0436048	0.039104	0.00490044	0.00260018	0.991597
284.072	0.00258007	0.99529	0.00213033	0.0478044	0.0391039	0.00420049	0.00180026	0.99159
289.754	0.00298937	0.99473	0.00228123	0.0504048	0.0405039	0.00420042	0.00390018	0.991583
295.549	0.00295929	0.994691	0.00235069	0.053905	0.0465041	0.00410042	0.00260039	0.991577
301.46	0.00306488	0.994675	0.00226109	0.0524054	0.0457047	0.00500041	0.00330026	0.99157
307.489	0.00315704	0.994516	0.00232731	0.0559052	0.0462046	0.0053005	0.00390033	0.991564
313.639	0.00309116	0.994758	0.00215155	0.0521056	0.0499046	0.00630053	0.00250039	0.991557
319.912	0.00314532	0.994637	0.00221837	0.0555052	0.051405	0.00630063	0.00280025	0.991551
326.31	0.0034595	0.994205	0.00233601	0.0597056	0.0506051	0.00620063	0.00530028	0.991545
332.836	0.00327513	0.994462	0.0022639	0.058506	0.0531051	0.00700062	0.00360053	0.991539
339.493	0.00322813	0.994483	0.00228969	0.0594059	0.0553053	0.0058007	0.00370036	0.991533
346.283	0.00323266	0.994478	0.00229031	0.0616059	0.0534055	0.00670058	0.00420037	0.991527
353.208	0.00321727	0.994593	0.00219067	0.0591062	0.0572053	0.00750067	0.00320042	0.991521
360.272	0.00309308	0.994594	0.0023134	0.0628059	0.0550057	0.00760075	0.00330032	0.991516
367.478	0.00326413	0.994333	0.00240338	0.0683063	0.0597055	0.00780076	0.00360033	0.99151
374.827	0.00336145	0.994206	0.0024329	0.0709068	0.062706	0.00860078	0.00360036	0.991504
382.324	0.00344135	0.994255	0.00230452	0.0704071	0.0639063	0.00600086	0.00550036	0.991499
389.971	0.00327829	0.994423	0.00229929	0.070407	0.0614064	0.0083006	0.00440055	0.991493
397.77	0.00339046	0.994272	0.00233841	0.071807	0.0634061	0.00850083	0.00510044	0.991488
405.725	0.00376176	0.993658	0.00258035	0.0823072	0.0705063	0.00870085	0.00650051	0.991483
413.84	0.00356587	0.993969	0.00246616	0.0798082	0.0691071	0.0114009	0.00470065	0.991478
422.117	0.00350941	0.994197	0.00229421	0.074408	0.0716069	0.00870114	0.00540047	0.991472
430.559	0.00343996	0.994078	0.00248212	0.0852074	0.0701072	0.00620087	0.00690054	0.991467
439.17	0.00404447	0.993393	0.00256347	0.0891085	0.080007	0.0114006	0.00750069	0.991462
447.954	0.00378564	0.993752	0.00246283	0.0852089	0.081308	0.00940114	0.00660075	0.991457
456.913	0.00375306	0.993618	0.00262962	0.0955085	0.0827081	0.00940094	0.00660066	0.991453
466.051	0.00375242	0.993772	0.00247626	0.0898096	0.0784083	0.00940094	0.00830066	0.991448
475.372	0.00375897	0.993629	0.00261217	0.096909	0.0825078	0.0120009	0.00680083	0.991443
484.879	0.00365861	0.993705	0.00263679	0.10041	0.0867083	0.0107012	0.00610068	0.991438
494.577	0.00397371	0.993419	0.00260769	0.09991	0.0886087	0.0119011	0.00860061	0.991434
504.468	0.00388423	0.993446	0.00267045	0.10451	0.0920089	0.0131012	0.00710086	0.991429
514.558	0.00403472	0.993377	0.00258883	0.10401	0.0953092	0.0127013	0.00860071	0.991425
524.849	0.00394647	0.993339	0.00271549	0.11151	0.0983095	0.0135013	0.00740086	0.99142
535.346	0.00418123	0.993051	0.00276863	0.115111	0.10101	0.0146014	0.00930074	0.991416
546.053	0.00399612	0.993298	0.00270647	0.116612	0.10141	0.0143015	0.00830093	0.991412
556.974	0.00416508	0.993118	0.00271744	0.117612	0.10891	0.0131014	0.00950083	0.991408
568.113	0.0041595	0.993097	0.00274432	0.120212	0.107311	0.0153013	0.00970095	0.991403
579.476	0.00435439	0.992854	0.00279208	0.126012	0.112111	0.0154015	0.011401	0.991399
591.065	0.00422533	0.993119	0.00265605	0.120813	0.113411	0.0154015	0.0106011	0.991395
602.886	0.00409892	0.993107	0.002795	0.131612	0.119211	0.0140015	0.00930106	0.991391
614.944	0.004292	0.993053	0.00265577	0.129713	0.120012	0.0173014	0.0107009	0.991387
627.243	0.00408412	0.993141	0.00277557	0.136513	0.118112	0.0163017	0.0102011	0.991383
639.788	0.00453589	0.992652	0.00281253	0.139914	0.129312	0.0193016	0.012301	0.99138
652.584	0.00440996	0.992809	0.00278194	0.141314	0.127513	0.0171019	0.0133012	0.991376
665.635	0.00462001	0.992466	0.00291413	0.151814	0.143513	0.0165017	0.0132013	0.991372
678.948	0.00421396	0.992718	0.0030686	0.164715	0.130014	0.0199017	0.0111013	0.991368
692.527	0.00440499	0.992773	0.00282304	0.154616	0.136713	0.019702	0.0130011	0.991365
706.378	0.00455674	0.992463	0.00298133	0.163115	0.150414	0.018302	0.0133013	0.991361
720.505	0.00459215	0.992348	0.00306046	0.172716	0.148115	0.0219018	0.0139013	0.991358
734.915	0.00465263	0.992294	0.00305398	0.173017	0.158315	0.0212022	0.0137014	0.991354
749.614	0.00472251	0.992263	0.00301466	0.179817	0.151016	0.0213021	0.0177014	0.991351
764.606	0.00453088	0.99245	0.00301998	0.176218	0.164415	0.0201021	0.0135018	0.991347
779.898	0.00464477	0.992263	0.00309304	0.186718	0.164916	0.023602	0.0147014	0.991344
795.496	0.00476147	0.992277	0.00296217	0.183919	0.174116	0.0228024	0.0158015	0.991341
811.406	0.00478408	0.992097	0.00311996	0.198218	0.172817	0.0227023	0.0179016	0.991337
827.634	0.00482339	0.992009	0.00316869	0.20662	0.185017	0.0253023	0.0157018	0.991334
844.187	0.0047933	0.992164	0.00304307	0.201421	0.184819	0.0232025	0.0177016	0.991331
861.07	0.00479076	0.991985	0.0032247	0.21502	0.187118	0.0269023	0.0169018	0.991328
878.292	0.00490382	0.991875	0.00322151	0.217322	0.192719	0.0281027	0.0183017	0.991325
895.858	0.00491207	0.992024	0.00306491	0.214422	0.195119	0.0277028	0.0196018	0.991322
913.775	0.00490734	0.991817	0.00327608	0.237021	0.20432	0.0269028	0.019202	0.991319
932.05	0.00481546	0.9921	0.00308499	0.226724	0.20082	0.0290027	0.0192019	0.991316
950.691	0.00492541	0.991743	0.00333216	0.249823	0.20672	0.0301029	0.0208019	0.991313
969.705	0.00494588	0.99183	0.0032246	0.240625	0.215521	0.028303	0.0215021	0.99131
989.099	0.00484686	0.991787	0.00336679	0.259624	0.226222	0.0296028	0.0182022	0.991307
1008.88	0.00494847	0.991833	0.0032188	0.252026	0.231323	0.033303	0.0189018	0.991304
1109.77	0.00509181	0.991571	0.00333819	0.291225	0.249723	0.0322033	0.0269019	0.991292
1220.75	0.00537289	0.991233	0.0033949	0.325729	0.289125	0.0427032	0.0290027	0.99128
1342.82	0.00538291	0.99105	0.00356763	0.373933	0.324829	0.0473043	0.0303029	0.991268
1477.1	0.00543874	0.991025	0.00353665	0.408737	0.354932	0.0519047	0.035503	0.991258
1624.81	0.0056979	0.990697	0.00360559	0.460341	0.415535	0.0569052	0.0406036	0.991248
1787.29	0.00591713	0.990396	0.00368743	0.520946	0.455442	0.0705057	0.0487041	0.991239
1966.02	0.00584205	0.9904	0.00375855	0.583552	0.495946	0.0840071	0.0492049	0.99123
2162.63	0.00593555	0.990245	0.00381986	0.640658	0.56295	0.0875084	0.0557049	0.991222
2378.89	0.00612447	0.989989	0.00388678	0.733864	0.631356	0.0998088	0.0649056	0.991214
2616.78	0.00615403	0.989985	0.00386132	0.797573	0.692563	0.11221	0.0722065	0.991207
